nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
StartAwsTranslateJob,StartAwsTranslateJob,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para iniciar un trabajo de AWS Translate se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el AWSCredentialsProviderControllerService configurado sea compatible con Java 21."
StartGcpVisionAnnotateFilesOperation,StartGcpVisionAnnotateFilesOperation,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para iniciar una operación de anotación de archivos de GCP Vision se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el GCPCredentialsControllerService configurado sea compatible con Java 21 y que las coordenadas del bundle nifi-gcp-nar en flow.json.gz estén actualizadas."
StartGcpVisionAnnotateImagesOperation,StartGcpVisionAnnotateImagesOperation,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para iniciar una operación de anotación de imágenes de GCP Vision se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el GCPCredentialsControllerService configurado sea compatible con Java 21 y que las coordenadas del bundle nifi-gcp-nar en flow.json.gz estén actualizadas."
TagS3Object,TagS3Object,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para añadir o actualizar etiquetas en objetos S3 se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el AWSCredentialsProviderControllerService configurado sea compatible con Java 21."
TailFile,TailFile,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para ingerir datos de archivos a medida que se escriben nuevas líneas se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Revisar la configuración de los patrones de archivo y el modo de seguimiento para asegurar la compatibilidad."
TransformXml,TransformXml,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para transformar XML utilizando XSLT se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que las hojas de estilo XSLT utilizadas sean compatibles y que el XML de entrada sea válido."
UnpackContent,UnpackContent,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para desempaquetar contenido (TAR, ZIP, FlowFile Stream) se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que los formatos de empaquetado utilizados sean compatibles."
UpdateAttribute,UpdateAttribute,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para modificar o añadir atributos a FlowFiles se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que las expresiones del Expression Language utilizadas en las propiedades sigan siendo válidas."
UpdateByQueryElasticsearch,UpdateByQueryElasticsearch,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para actualizar documentos en Elasticsearch mediante una consulta se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el ElasticsearchClientService configurado sea compatible con Java 21 y la versión de Elasticsearch utilizada."
UpdateCounter,UpdateCounter,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para actualizar contadores se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que los contadores se utilicen para fines de monitoreo y depuración, ya que no son directamente accesibles para la manipulación de FlowFiles."
UpdateDatabaseTable,UpdateDatabaseTable,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para generar cambios en tablas de bases de datos basada en registros de entrada se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que la conexión JDBC y el Record Reader configurados sean compatibles con Java 21."
UpdateRecord,UpdateRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para actualizar datos orientados a registros utilizando RecordPath y Expression Language se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que los servicios de controlador Record Reader y Record Writer configurados sean compatibles con Java 21."
ValidateCsv,ValidateCsv,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para validar contenido CSV contra un esquema se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el esquema CSV y los procesadores de celda utilizados sean compatibles."
ValidateJson,ValidateJson,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para validar contenido JSON contra un JSON Schema se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el JSON Schema utilizado sea compatible."
ValidateRecord,ValidateRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para validar registros contra un esquema se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el esquema y los servicios de controlador Record Reader y Record Writer configurados sean compatibles con Java 21."
ValidateXml,ValidateXml,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para validar contenido XML contra un esquema XSD o por su formato se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el esquema XSD utilizado sea compatible y que el XML de entrada sea válido."
VerifyContentMAC,VerifyContentMAC,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para verificar el Código de Autenticación de Mensajes (MAC) del contenido de FlowFiles se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que el algoritmo MAC y la clave utilizados sean compatibles."
VerifyContentPGP,VerifyContentPGP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para verificar firmas PGP se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el PGPPublicKeyService configurado sea compatible con Java 21."
Wait,Wait,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para retener FlowFiles hasta recibir una señal de un procesador Notify se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el servicio de caché distribuida utilizado para las señales sea compatible con Java 21."
YandexTranslate,YandexTranslate,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para traducir contenido y atributos utilizando Yandex Translate se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Asegurar que las credenciales de la API de Yandex Translate y la configuración de red sean compatibles."
ADLSCredentialsControllerService,ADLSCredentialsControllerService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para proporcionar credenciales para Azure Data Lake Storage se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales configuradas sean válidas y que el servicio sea compatible con Java 21."
ADLSCredentialsControllerServiceLookup,ADLSCredentialsControllerServiceLookup,new,"Es un nuevo Controller Service introducido en NiFi 2.0.0-M1. No existía en NiFi 1.x.","No hay una ruta de migración directa ya que es un componente nuevo. Representa una nueva capacidad para la selección dinámica de credenciales de ADLS. Se deben aplicar las consideraciones generales de migración de NiFi 2.0."
AmazonGlueSchemaRegistry,AmazonGlueSchemaRegistry,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para interactuar con el AWS Glue Schema Registry se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales de AWS y la configuración de la región sean compatibles con Java 21."
AvroReader,AvroReader,active,"Las propiedades relacionadas con la Schema Access Strategy pueden comportarse de manera diferente o estar ocultas en NiFi 2.0. Otros procesadores Avro obsoletos (ej. ConvertAvroToJson) requerirán refactorización del flujo.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial revisar y reconfigurar la propiedad Schema Access Strategy y refactorizar los flujos que utilizaban procesadores Avro obsoletos."
AvroRecordSetWriter,AvroRecordSetWriter,active,"Las propiedades relacionadas con la Schema Write Strategy y Schema Access Strategy requieren una revisión y ajuste cuidadosos. La integración con Schema Registry debe ser verificada.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial revisar y ajustar las propiedades de estrategia de escritura y acceso al esquema, y verificar la compatibilidad del Schema Registry configurado."
AvroSchemaRegistry,AvroSchemaRegistry,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para registrar y acceder a esquemas Avro se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Si se utilizaba con procesadores Avro obsoletos o configuraciones basadas en XML/Variable Registry, los flujos deberán ser actualizados."
AWSCredentialsProviderControllerService,AWSCredentialsProviderControllerService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para proporcionar credenciales de AWS se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial reconfigurar manualmente las propiedades sensibles (ej. Access Key, Secret Access Key) en el nuevo entorno de NiFi 2.0."
AzureCosmosDBClientService,AzureCosmosDBClientService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para proporcionar un cliente para Azure Cosmos DB se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales y la configuración de conexión a Cosmos DB sean compatibles con Java 21."
AzureEventHubRecordSink,AzureEventHubRecordSink,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para enviar registros a Azure Event Hub se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales y la configuración de conexión a Azure Event Hub sean compatibles con Java 21 y que las coordenadas del bundle nifi-azure-nar estén actualizadas."
AzureStorageCredentialsControllerService,AzureStorageCredentialsControllerService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para definir credenciales de Azure Storage se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales configuradas (Account Name/Key o SAS Token) sean válidas y que el servicio sea compatible con Java 21."
AzureStorageCredentialsControllerService_v12,AzureStorageCredentialsControllerService_v12,active,"Es la implementación estándar y actual para credenciales de Azure Storage en NiFi 2.x, utilizando la librería cliente de Azure Storage v12.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Si se utilizaba un servicio de credenciales de Azure más antiguo en NiFi 1.x, se debe configurar esta versión _v12. Es crucial asegurar que el tipo de credencial y la configuración sean compatibles con Java 21."
AzureStorageCredentialsControllerServiceLookup,AzureStorageCredentialsControllerServiceLookup,new,"Es un nuevo Controller Service introducido en NiFi 2.0.0-M1. Permite la selección dinámica de un `AzureStorageCredentialsService` en tiempo de ejecución.","No hay una ruta de migración directa ya que es un componente nuevo. Se puede aprovechar esta funcionalidad para gestionar credenciales de Azure de forma dinámica. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
AzureStorageCredentialsControllerService_v12,AzureStorageCredentialsControllerService_v12,active,"Es la implementación estándar y actual para credenciales de Azure Storage en NiFi 2.x, utilizando la librería cliente de Azure Storage v12.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Si se utilizaba un servicio de credenciales de Azure más antiguo en NiFi 1.x, se debe configurar esta versión _v12. Es crucial asegurar que el tipo de credencial y la configuración sean compatibles con Java 21."
AzureStorageCredentialsControllerServiceLookup,AzureStorageCredentialsControllerServiceLookup,new,"Es un nuevo Controller Service introducido en NiFi 2.0.0-M1. Permite la selección dinámica de un `AzureStorageCredentialsService` en tiempo de ejecución.","No hay una ruta de migración directa ya que es un componente nuevo. Se puede aprovechar esta funcionalidad para gestionar credenciales de Azure de forma dinámica. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
AzureStorageCredentialsControllerServiceLookup_v12,AzureStorageCredentialsControllerServiceLookup_v12,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para la selección dinámica de credenciales de Azure Storage (v12) se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que los AzureStorageCredentialsService_v12 configurados sean compatibles con Java 21 y que el atributo azure.storage.credentials.name se utilice correctamente."
AzureStorageEmulatorCredentialsControllerService,AzureStorageEmulatorCredentialsControllerService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para definir credenciales para el emulador de Azure Storage (Azurite) se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial revisar las propiedades como Storage Emulator URI para asegurar la configuración correcta en el nuevo entorno. Si se busca una solución más general para credenciales de Azure Storage, se puede considerar AzureStorageCredentialsControllerService_v12."
CassandraDistributedMapCache,-,deprecated,"El Controller Service está obsoleto debido a su dependencia de un driver de Cassandra (DataStax 3) que ya no está actualizado.","Considerar alternativas de caché distribuida o una solución personalizada que utilice un driver de Cassandra más moderno. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
CassandraSessionProvider,-,deprecated,"El Controller Service está obsoleto debido a su dependencia de un driver de Cassandra (DataStax 3) que ya no está actualizado. Requiere nuevos componentes.","Considerar alternativas para proporcionar sesiones de Cassandra, posiblemente utilizando un Controller Service personalizado o un DBCPConnectionPool con un driver JDBC de Cassandra moderno y compatible con Java 21. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
CEFReader,CEFReader,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para parsear eventos CEF y devolverlos como registros se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el esquema CEF y cualquier servicio de registro asociado sean compatibles con Java 21."
ConfluentSchemaRegistry,ConfluentSchemaRegistry,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para interactuar con un Confluent Schema Registry externo se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que la instancia externa de Confluent Schema Registry sea compatible y accesible desde el entorno de NiFi 2.0."
CouchbaseClusterService,-,deprecated,"El Controller Service está obsoleto y será eliminado en NiFi 2.x. No se sugieren componentes alternativos.","Re-arquitectar los flujos para interactuar con Couchbase a través de otros medios, como el uso de InvokeHTTP para llamar a la API REST de Couchbase o implementando un Controller Service personalizado. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
CouchbaseKeyValueLookupService,CouchbaseKeyValueLookupService,active,"No se esperan cambios directos en las propiedades. Sin embargo, la compatibilidad con el SDK de Couchbase puede haber cambiado (ej. de SDK 2 a SDK 3), lo que podría afectar la interacción con clusters de Couchbase existentes.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial verificar la versión del SDK de Couchbase utilizada por los componentes de NiFi 2.0 y asegurar la compatibilidad con el cluster de Couchbase. Si se utilizaban características específicas de SDK 2, puede ser necesario adaptar los flujos."
CouchbaseMapCacheClient,-,deprecated,"El Controller Service está obsoleto y será eliminado en NiFi 2.x. No se sugieren componentes alternativos.","Re-arquitectar los flujos para utilizar una solución alternativa de caché distribuida con Couchbase, ya que este componente no estará disponible. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
CouchbaseRecordLookupService,-,deprecated,"El Controller Service está obsoleto y será eliminado en NiFi 2.x. No se sugieren componentes alternativos.","Re-arquitectar los flujos para realizar búsquedas de registros en Couchbase a través de otros medios, como el uso de un LookupRecord con una estrategia de búsqueda personalizada o implementando un Controller Service personalizado. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
CSVReader,CSVReader,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para interpretar datos de entrada como registros delimitados se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las opciones de configuración (separadores de campo, comillas, etc.) sean compatibles con Java 21."
CSVRecordLookupService,CSVRecordLookupService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para realizar búsquedas basadas en archivos CSV recargables se mantiene. Se debe verificar la propiedad CSV Format si se migra desde versiones muy antiguas de NiFi 1.x.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el archivo CSV de origen y las propiedades de formato sean compatibles con Java 21."
CSVRecordSetWriter,CSVRecordSetWriter,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para escribir el contenido de un RecordSet como datos CSV se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las propiedades de formato CSV y las estrategias de escritura de esquema sean compatibles con Java 21."
DatabaseRecordLookupService,DatabaseRecordLookupService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para realizar búsquedas basadas en bases de datos relacionales se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el DBCPConnectionPool asociado y los drivers JDBC sean compatibles con Java 21, y que los Record Readers y Writers configurados sean compatibles."
DatabaseRecordSink,DatabaseRecordSink,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para escribir registros en una base de datos se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el DBCPConnectionPool asociado y los drivers JDBC sean compatibles con Java 21, y que los Record Readers y Writers configurados sean compatibles."
DatabaseTableSchemaRegistry,DatabaseTableSchemaRegistry,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para generar un esquema de registro a partir de una definición de tabla de base de datos se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el DBCPConnectionPool asociado y los drivers JDBC sean compatibles con Java 21."
DBCPConnectionPool,DBCPConnectionPool,changed,"El Controller Service `org.apache.nifi.dbcp.DBCPConnectionPool` tiene cambios importantes en NiFi 2.0. Se requiere atención durante la actualización.","La migración debe centrarse en asegurar la compatibilidad con Java 21 y los drivers JDBC actualizados. Es crucial revisar y ajustar manualmente la configuración del pool de conexiones. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
DBCPConnectionPoolLookup,DBCPConnectionPoolLookup,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para la selección dinámica de `DBCPConnectionPool` se mantiene. Sin embargo, el `DBCPConnectionPool` subyacente tiene cambios importantes en NiFi 2.0.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el DBCPConnectionPool asociado y los drivers JDBC sean compatibles con Java 21, y que el atributo database.name se utilice correctamente. Se deben revisar las ubicaciones de los archivos NAR."
DistributedMapCacheClientService,MapCacheClientService,renamed,"El Controller Service ha sido renombrado de `DistributedMapCacheClientService` a `MapCacheClientService` en NiFi 2.0.","Actualizar todas las referencias a `DistributedMapCacheClientService` en los flujos a `MapCacheClientService`. Asegurar que el `MapCacheServer` asociado también esté configurado correctamente. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
DistributedMapCacheLookupService,DistributedMapCacheLookupService,changed,"El Controller Service `DistributedMapCacheLookupService` permanece, pero sus servicios asociados `DistributedMapCacheClientService` y `DistributedMapCacheServer` han sido renombrados a `MapCacheClientService` y `MapCacheServer` respectivamente.","Actualizar la configuración de `DistributedMapCacheLookupService` para que utilice el nuevo `MapCacheClientService` como su servicio de caché distribuida subyacente. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
DistributedMapCacheServer,MapCacheServer,renamed,"El Controller Service ha sido renombrado de `DistributedMapCacheServer` a `MapCacheServer` en NiFi 2.0.","Actualizar todas las referencias a `DistributedMapCacheServer` en los flujos a `MapCacheServer`. En entornos de clúster, considerar que cada `MapCacheServer` opera de forma independiente; para una caché distribuida de alta disponibilidad, se recomiendan servicios externos. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
DistributedSetCacheClientService,SetCacheClientService,renamed,"El Controller Service ha sido renombrado de `DistributedSetCacheClientService` a `SetCacheClientService` en NiFi 2.0.","Actualizar todas las referencias a `DistributedSetCacheClientService` en los flujos a `SetCacheClientService`. Asegurar que el `SetCacheServer` asociado también esté configurado correctamente. El estado de la caché deberá restablecerse después de la migración. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
DistributedSetCacheServer,SetCacheServer,renamed,"El Controller Service ha sido renombrado de `DistributedSetCacheServer` a `SetCacheServer` en NiFi 2.0.","Actualizar todas las referencias a `DistributedSetCacheServer` en los flujos a `SetCacheServer`. Asegurar que el `SetCacheClientService` asociado también esté configurado correctamente. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
ElasticSearchClientServiceImpl,ElasticSearchClientServiceImpl,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para acceder a un cliente Elasticsearch se mantiene. Sin embargo, NiFi 2.0 introduce cambios fundamentales en su arquitectura (Java 21, Spring 6, Jetty 12, Servlet 6).","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial revisar y configurar las propiedades del servicio (hosts, autenticación, SSL, timeouts) para asegurar la compatibilidad con el entorno de Elasticsearch y NiFi 2.0. Se recomienda usar una única instancia por destino de Elasticsearch."
ElasticSearchLookupService,ElasticSearchLookupService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para buscar registros en un servidor Elasticsearch se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el ElasticSearchClientServiceImpl asociado sea compatible con Java 21 y la versión de Elasticsearch utilizada, y que las propiedades de configuración (índice, tipo, etc.) sean correctas."
ElasticSearchStringLookupService,ElasticSearchStringLookupService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para buscar valores de cadena en Elasticsearch se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el ElasticSearchClientService asociado sea compatible con Java 21 y la versión de Elasticsearch utilizada, y que las propiedades de configuración sean correctas. Se deben revisar las ubicaciones de los archivos NAR."
EmailRecordSink,EmailRecordSink,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para formatear y enviar registros por correo electrónico se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las propiedades de configuración (remitente, destinatarios, etc.) y el Record Writer especificado sean compatibles con Java 21."
EmbeddedHazelcastCacheManager,EmbeddedHazelcastCacheManager,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para gestionar una instancia de Hazelcast embebida se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial revisar y configurar la estrategia de clustering de Hazelcast (All Nodes o Explicit) y los hostnames si aplica, para asegurar la compatibilidad con el entorno de NiFi 2.0."
ExcelReader,ExcelReader,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para parsear documentos de Microsoft Excel en registros se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que los formatos de archivo Excel (`.xlsx`, `.xls`) y las configuraciones de esquema sean compatibles con Java 21."
ExternalHazelcastCacheManager,ExternalHazelcastCacheManager,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para gestionar una instancia de Hazelcast externa se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el clúster de Hazelcast externo esté ejecutando la versión 4.0.0 o superior para ser compatible con NiFi 2.0. Se deben revisar las ubicaciones de los archivos NAR si las coordenadas del componente han cambiado."
FreeFormTextRecordSetWriter,FreeFormTextRecordSetWriter,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para escribir RecordSets como texto de formato libre se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las propiedades de formato de texto y cualquier configuración de esquema sean compatibles con Java 21."
GCPCredentialsControllerService,GCPCredentialsControllerService,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para definir credenciales para procesadores de Google Cloud Platform se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que las credenciales configuradas sean válidas y que el servicio sea compatible con Java 21. Si se utilizan NARs personalizados, deberán ser reconstruidos contra la API de NiFi 2.0. Se deben revisar las ubicaciones de los archivos NAR."
GraphiteMetricReporterService,-,deprecated,"El Reporting Task está obsoleto y será eliminado en NiFi 2.0. Las métricas ahora se exponen a través de un endpoint REST (`/nifi-api/flow/metrics/prometheus`).","Implementar una solución personalizada para reportar métricas a Graphite. Esto implicará acceder al endpoint REST de métricas de NiFi 2.0, convertir las métricas de formato Prometheus a Graphite y enviarlas. Se deben aplicar las consideraciones generales de migración de NiFi 2.0 (Java 21, Parameter Contexts)."
GrokReader,GrokReader,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para leer datos de texto no estructurados utilizando patrones Grok se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que los patrones Grok configurados sean compatibles con Java 21."
HadoopDBCPConnectionPool,HadoopDBCPConnectionPool,changed,"No se esperan cambios directos en las propiedades del `HadoopDBCPConnectionPool` en sí. Sin embargo, el ecosistema de Hadoop y Hive en NiFi 2.0 ha cambiado drásticamente, con la eliminación de muchos componentes antiguos y la introducción de nuevos (ej. `ClouderaHiveConnectionPool`).","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el JAR `hadoop-common` y los archivos de configuración de Hadoop sean compatibles con Java 21. Si se utilizaban componentes de Hive antiguos, deberán ser reemplazados por sus equivalentes en NiFi 2.0 (ej. `ClouderaHiveConnectionPool`). Se deben revisar las ubicaciones de los archivos NAR y actualizar `flow.json.gz` si las coordenadas del componente han cambiado."
HazelcastMapCacheClient,HazelcastMapCacheClient,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal para interactuar con una caché de mapa de Hazelcast se mantiene.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Es crucial asegurar que el `HazelcastCacheManager` asociado (ya sea `EmbeddedHazelcastCacheManager` o `ExternalHazelcastCacheManager`) sea compatible con NiFi 2.0 y esté configurado correctamente."
HBase_2_ClientMapCacheService,HBase_2_ClientMapCacheService,active,"No se esperan cambios directos en las propiedades. Este Controller Service reemplaza directamente a `HBase_1_1_2_ClientMapCacheService` en NiFi 2.0.","La migración debe centrarse en las consideraciones generales del entorno de NiFi 2.0 (Java 21, Parameter Contexts). Si se utilizaba la versión anterior, se debe reemplazar por `HBase_2_ClientMapCacheService`. Es crucial asegurar que el `HBase_2_ClientService` asociado sea compatible con Java 21 y la versión de HBase utilizada."
